,GMIS.Region,GMIS.Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
1,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Aide I,10,0,10,100
2,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Aide II,2,0,2,100
3,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Aide III,2,1,3,66.67
4,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Aide IV,1,0,1,100
5,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Aide V,1,0,1,100
6,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Aide VI,4,0,4,100
7,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Assistant II,5,2,7,71.43
8,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Assistant III,1,1,2,50
9,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Officer II,3,0,3,100
10,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Officer III,2,0,2,100
11,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Officer IV,6,0,6,100
12,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Administrative Officer V,3,0,3,100
13,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Assistant Teacher's Camp Superintendent,1,0,1,100
14,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Guesthouse Caretaker,18,0,18,100
15,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Security Guard I,1,0,1,100
16,Cordillera Administrative Region (CAR),Baguio Teachers Camp,Teachers' Camp Superintendent,1,0,1,100
17,Cordillera Administrative Region (CAR),Division of Abra,Accountant III,1,0,1,100
18,Cordillera Administrative Region (CAR),Division of Abra,Administrative Aide I,38,0,38,100
19,Cordillera Administrative Region (CAR),Division of Abra,Administrative Aide II,1,0,1,100
20,Cordillera Administrative Region (CAR),Division of Abra,Administrative Aide III,8,0,8,100
21,Cordillera Administrative Region (CAR),Division of Abra,Administrative Aide IV,6,0,6,100
22,Cordillera Administrative Region (CAR),Division of Abra,Administrative Aide VI,8,0,8,100
23,Cordillera Administrative Region (CAR),Division of Abra,Administrative Assistant I,1,0,1,100
24,Cordillera Administrative Region (CAR),Division of Abra,Administrative Assistant II,66,10,76,86.84
25,Cordillera Administrative Region (CAR),Division of Abra,Administrative Assistant III,54,21,75,72
26,Cordillera Administrative Region (CAR),Division of Abra,Administrative Officer I,10,0,10,100
27,Cordillera Administrative Region (CAR),Division of Abra,Administrative Officer II,236,6,242,97.52
28,Cordillera Administrative Region (CAR),Division of Abra,Administrative Officer III,2,1,3,66.67
29,Cordillera Administrative Region (CAR),Division of Abra,Administrative Officer IV,7,0,7,100
30,Cordillera Administrative Region (CAR),Division of Abra,Administrative Officer V,2,0,2,100
31,Cordillera Administrative Region (CAR),Division of Abra,Agriculturist I,2,4,6,33.33
32,Cordillera Administrative Region (CAR),Division of Abra,Assistant Schools Division Superintendent,1,0,1,100
33,Cordillera Administrative Region (CAR),Division of Abra,Attorney III,1,0,1,100
34,Cordillera Administrative Region (CAR),Division of Abra,Chief Education Supervisor,2,0,2,100
35,Cordillera Administrative Region (CAR),Division of Abra,Dental Aide,1,0,1,100
36,Cordillera Administrative Region (CAR),Division of Abra,Dentist II,2,0,2,100
37,Cordillera Administrative Region (CAR),Division of Abra,Education Program Specialist II,5,0,5,100
38,Cordillera Administrative Region (CAR),Division of Abra,Education Program Supervisor,11,0,11,100
39,Cordillera Administrative Region (CAR),Division of Abra,Electronics and Communications Equipment Technician I,1,0,1,100
40,Cordillera Administrative Region (CAR),Division of Abra,Engineer III,1,0,1,100
41,Cordillera Administrative Region (CAR),Division of Abra,Farm Worker I,1,7,8,12.5
42,Cordillera Administrative Region (CAR),Division of Abra,Guidance Counselor II,1,8,9,11.11
43,Cordillera Administrative Region (CAR),Division of Abra,Guidance Counselor III,1,2,3,33.33
44,Cordillera Administrative Region (CAR),Division of Abra,Head Teacher I,25,2,27,92.59
45,Cordillera Administrative Region (CAR),Division of Abra,Head Teacher II,21,1,22,95.45
46,Cordillera Administrative Region (CAR),Division of Abra,Head Teacher III,45,5,50,90
47,Cordillera Administrative Region (CAR),Division of Abra,Head Teacher VI,5,0,5,100
48,Cordillera Administrative Region (CAR),Division of Abra,Information Technology Officer I,1,0,1,100
49,Cordillera Administrative Region (CAR),Division of Abra,Librarian II,1,0,1,100
50,Cordillera Administrative Region (CAR),Division of Abra,Master Teacher I,152,0,152,100
51,Cordillera Administrative Region (CAR),Division of Abra,Master Teacher II,86,1,87,98.85
52,Cordillera Administrative Region (CAR),Division of Abra,Master Teacher III,2,0,2,100
53,Cordillera Administrative Region (CAR),Division of Abra,Medical Officer III,1,0,1,100
54,Cordillera Administrative Region (CAR),Division of Abra,Nurse II,41,1,42,97.62
55,Cordillera Administrative Region (CAR),Division of Abra,Planning Officer III,1,0,1,100
56,Cordillera Administrative Region (CAR),Division of Abra,Project Development Officer I,9,0,9,100
57,Cordillera Administrative Region (CAR),Division of Abra,Project Development Officer II,2,0,2,100
58,Cordillera Administrative Region (CAR),Division of Abra,Public Schools District Supervisor,10,0,10,100
59,Cordillera Administrative Region (CAR),Division of Abra,Registrar I,1,0,1,100
60,Cordillera Administrative Region (CAR),Division of Abra,School Librarian I,2,0,2,100
61,Cordillera Administrative Region (CAR),Division of Abra,School Librarian III,2,0,2,100
62,Cordillera Administrative Region (CAR),Division of Abra,School Principal I,57,2,59,96.61
63,Cordillera Administrative Region (CAR),Division of Abra,School Principal II,24,1,25,96
64,Cordillera Administrative Region (CAR),Division of Abra,School Principal III,15,1,16,93.75
65,Cordillera Administrative Region (CAR),Division of Abra,School Principal IV,1,0,1,100
66,Cordillera Administrative Region (CAR),Division of Abra,Schools Division Superintendent,1,0,1,100
67,Cordillera Administrative Region (CAR),Division of Abra,Security Guard I,16,0,16,100
68,Cordillera Administrative Region (CAR),Division of Abra,Security Guard II,1,0,1,100
69,Cordillera Administrative Region (CAR),Division of Abra,Senior Education Program Specialist,2,2,4,50
70,Cordillera Administrative Region (CAR),Division of Abra,Special Education Teacher I,2,0,2,100
71,Cordillera Administrative Region (CAR),Division of Abra,Special Education Teacher III,1,0,1,100
72,Cordillera Administrative Region (CAR),Division of Abra,Special Science Teacher I,4,0,4,100
73,Cordillera Administrative Region (CAR),Division of Abra,Teacher I,569,7,576,98.78
74,Cordillera Administrative Region (CAR),Division of Abra,Teacher II,326,2,328,99.39
75,Cordillera Administrative Region (CAR),Division of Abra,Teacher III,1679,5,1684,99.7
76,Cordillera Administrative Region (CAR),Division of Abra,Watchman I,1,0,1,100
77,Cordillera Administrative Region (CAR),Division of Apayao,Accountant III,1,0,1,100
78,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Aide I,6,0,6,100
79,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Aide III,2,0,2,100
80,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Aide IV,1,0,1,100
81,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Aide VI,7,1,8,87.5
82,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Assistant I,1,0,1,100
